"","variables","TP53_ALL","TP53_del","TP53_cnLOH","TP53_morethan5VAF","TP53_biallelic","ATM_ALL","ATM_mut","ATM_del","ATM_cnLOH","ATM_more_than_one_mutation","BIRC3_ALL","BIRC3_mut","BIRC3_del","ATM_biallelic","BIRC3_biallelic","X11q_monoallelic","ATM_monoallelic","BIRC3_monoallelic","NOTCH1_mut","SF3B1_mut","X6q._del_ALL","X13q_ALL","X13q_del_homozygous","X13q_het","X13q_del_incl_RB1","X13q_sole_abnorm_Oxdefined","X13q_sole_abnormality_Rossi","Trisomy_12","Trisomy_18","Trisomy_19","XPO1_ALL","XPO1_gain","XPO1_mutation","SAMHD1_ALL","SAMHD1_mut","SAMHD1_cnLOH_Del","MYD88_mut","MED12mutation","X8q_ALL","X8q24_gain","ZFPM2_mut","Subclones","Total_num_CNAs","No_alteration","Binet","age_at_randomisation","patient_gender","vh_mutation_status","MRD","ALC","WBC","cd38"
"17","ATM_monoallelic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.252,0.859,1,0.907,0.206,0.6,0.602,0.012,0.356,0.672,1,0.633,0.177,0.67,0.174,0.482,0.351,0.203,0.462,0.096,1,0.606,1,0.316,0.107,1,1,0.878,0.539,0.728,0.176,0.176,0.096,0.818
"18","BIRC3_monoallelic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,1,0.467,1,1,1,1,0.412,0.081,0.006,0.027,0.003,1,1,1,0.444,1,0.342,1,1,0.066,1,0.012,0.558,0.151,1,0.591,0.879,0.85,0.387,0.102,0.347,0.491,0.512
"19","NOTCH1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129,0.728,0.078,0.279,0.261,0.458,0.017,0,0.02,0.553,0.609,1,0.387,1,1,1,0.648,1,0.609,1,1,0.415,0.089,0.917,1,0.029,0.78,0.828,0.265,0.088,0.565,0.493,1
"20","SF3B1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.843,0.537,0.443,0.145,0.001,0,0.003,1,1,1,0.181,0.253,0.386,0.434,0.732,1,0.674,0.295,0.393,0.229,0.845,0.123,1,0.544,0.059,0.662,0.142,1,0.192,0.335,0.379
"21","X6q._del_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.687,1,0.284,1,0.737,1,1,1,0.467,1,0.585,1,0.467,1,1,0.467,1,0.222,0.52,0,1,0.823,0.222,0.755,0.289,0.85,0.181,0.194,0.593
"22","X13q_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0,0,0.001,0,0,1,1,0.382,0.662,0.349,0.851,0.624,0.662,0.169,0.059,0.662,0.26,0.73,0,0.001,0.285,0.867,0.142,0.842,0.077,0.659,0.027,0.047,0.156
"23","X13q_del_homozygous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.152,0.001,0,0.139,1,1,0.336,0.312,0.674,1,1,1,0.364,1,0.634,1,1,0.01,0.378,1,0.502,0.608,0.814,0.08,1,0.646,0.61,0.108
"24","X13q_het",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.055,0,0.001,0.744,0.772,0.622,1,0.398,0.536,0.399,0.62,0.24,0.129,0.325,0.113,1,0.002,0.004,0.423,1,0.249,0.624,0.444,0.632,0.054,0.094,0.541
"25","X13q_del_incl_RB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.005,0.003,0.655,0.42,0.664,0.735,0.27,1,0.442,1,0.241,0.42,1,1,0.609,0.027,0.04,1,0.476,0.575,0.302,0.1,0.611,0.647,0.617,0.7
"26","X13q_sole_abnorm_Oxdefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.008,1,1,0.085,0.412,0.276,0.276,0.635,0.412,1,1,0.412,1,1,0.001,0.509,1,0.452,0.057,0.832,0.008,0.307,0.162,0.279,0.054
"27","X13q_sole_abnormality_Rossi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.283,0.848,1,1,0.208,0.311,0.234,0.034,0.283,0.381,1,0.638,0,0.22,0.638,0.34,0.943,0.938,0.099,0.648,0.003,0.017,0.029
"28","Trisomy_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.001,0.057,0.417,0.181,0.181,0.643,0.417,1,0.102,0.675,0.616,0.471,0.002,0.274,1,0.775,0.633,0.84,0.303,0.007,0.028,0.038,0.424
"29","Trisomy_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0.096,1,1,1,1,0.462,0.01,1,0.153,0.924,0.63,0.086,0.128,0.015,0.022,0.272
"30","Trisomy_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0.725,0.052,1,0.521,0.934,1,0.037,0.055,0.053,0.069,0.196
"31","XPO1_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.538,1,1,0.491,0.619,0.439,1,0.246,0.451,1,0.589,0.861,0.899,0.146,0.54,0.136,0.104,0.563
"32","XPO1_gain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,0.444,0.285,1,1,1,0.342,0.222,1,0.043,0.001,1,1,0.135,0.706,0.275,0.162,0.611,0.593,0.827
"33","XPO1_mutation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.337,1,1,1,0.844,0.144,1,0.489,0.057,1,0.202,1,0.057,0.044,0.202
"34","SAMHD1_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.209,0.337,0.117,1,0.023,0.816,0.238,1,0.489,0.164,1,0.854,0.561,0.026,0.14,0.138
"35","SAMHD1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.285,1,0.125,0.784,0.422,1,1,0.975,0.529,0.462,0.119,0.171,0.123,0.22
"36","SAMHD1_cnLOH_Del",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,0.254,0.342,1,0.154,0.609,0.205,1,0.591,0.459,1,1,1,0.137,0.537,0.276
"37","MYD88_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.688,0.947,1,0.05,0.198,0.769,0.731,1,0.926,0.945,0.489
"38","MED12mutation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.308,0.262,1,0.31,0.739,0.823,0.444,1,0.098,0.089,0.196
"39","X8q_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.391,0.002,1,0.591,0.498,0.706,1,0.495,0.807,0.761,0.668
"40","X8q24_gain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.266,0.001,1,0.466,0.881,0.46,0.778,0.545,0.599,0.613,0.272
"41","ZFPM2_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,0.475,1,1,0.383,1,0.488,0.723,0.304,0.274,0.489
"42","Subclones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.078,0.573,0.414,0.847,0.632,0.05,0.28,0.314,0.867
"43","Total_num_CNAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.672,0.4,0.435,0.047,0.483,0.772,0.927,0.905
"44","No_alteration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.341,0.544,0.731,1,0.155,0.153,1
"45","Binet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.709,0.006,0.544,0.905,0.643,0.364
"46","age_at_randomisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293,0.417,0.1,0.793,0.979,0.535
"47","patient_gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.251,0.769,0.811,1
"48","vh_mutation_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481,0.034,0.009,0.05
"49","MRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.013,0.938
"50","ALC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.861
"51","WBC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89
"52","cd38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
